expression,expression_count
a word okay but,2
word okay but monica,2
okay but monica what,2
but monica what if,2
monica what if it,2
what if it doesn't,2
if it doesn't come,2
it doesn't come together,2
doesn't come together pheebs,2
come together pheebs well,2
together pheebs well because,2
pheebs well because you,2
well because you just,2
because you just i,2
you just i don't,2
just i don't like,2
i don't like this,2
don't like this question,2
like this question okay,2
this question okay see,2
question okay see see,2
okay see see you,2
see see you guys,2
see you guys what,2
you guys what if,2
guys what if we,2
what if we don't,2
if we don't get,2
we don't get magic,2
don't get magic beans,2
get magic beans i,2
magic beans i mean,2
beans i mean what,2
i mean what if,6
mean what if all,2
what if all we've,2
if all we've got,2
all we've got are,2
we've got are beans,2
got are beans get,2
are beans get him,2
beans get him get,2
get him get him,2
him get him get,2
get him get yes,2
him get yes you're,2
get yes you're not,2
yes you're not laughing,2
you're not laughing now,2
not laughing now are,2
laughing now are you,2
now are you pal,2
are you pal that's,2
you pal that's all,2
pal that's all you,2
that's all you need,2
all you need a,2
you need a bunch,2
need a bunch of,2
a bunch of toothless,2
bunch of toothless guys,2
of toothless guys hitting,2
toothless guys hitting each,2
guys hitting each other,2
hitting each other with,2
each other with sticks,2
other with sticks pass,2
with sticks pass it,2
sticks pass it pass,2
pass it pass it,2
it pass it chandler,2
pass it chandler he's,2
it chandler he's open,2
chandler he's open he's,2
he's open he's open,2
open he's open shoot,2
he's open shoot it,2
open shoot it shoot,2
shoot it shoot it,2
it shoot it shoot,2
it shoot it whoa,2
shoot it whoa oh,2
it whoa oh whoa,2
whoa oh whoa hey,2
oh whoa hey look,2
whoa hey look we're,2
hey look we're on,2
look we're on that,2
we're on that tv,2
on that tv thing,2
that tv thing ooh,2
tv thing ooh ooh,2
thing ooh ooh ooh,2
ooh ooh ooh i,2
ooh ooh i got,2
ooh i got it,2
i got it hey,2
got it hey hey,2
it hey hey we,2
hey hey we got,2
hey we got it,2
we got it hey,2
got it hey excuse,2
it hey excuse me,2
hey excuse me it,2
excuse me it says,2
me it says to,2
it says to call,2
says to call this,2
to call this number,2
call this number if,2
this number if you're,2
number if you're not,2
if you're not completely,2
you're not completely satisfied,2
not completely satisfied with,2
completely satisfied with this,2
satisfied with this candy,2
with this candy bar,2
this candy bar well,2
candy bar well i'm,2
bar well i'm not,2
well i'm not completely,2
i'm not completely satisfied,2
not completely satisfied listen,2
completely satisfied listen it's,2
satisfied listen it's kind,2
listen it's kind of,2
it's kind of an,2
kind of an emergency,2
of an emergency i,2
an emergency i guess,2
emergency i guess you'd,2
i guess you'd know,2
guess you'd know that,2
you'd know that or,2
know that or we'd,2
that or we'd be,2
or we'd be in,2
we'd be in the,2
be in the predicament,2
in the predicament room,2
the predicament room hold,2
predicament room hold on,2
room hold on fill,2
hold on fill these,2
on fill these out,2
fill these out sit,2
these out sit over,2
out sit over there,2
sit over there ross,2
over there ross look,2
there ross look i,2
ross look i don't,2
look i don't wanna,2
i don't wanna make,2
don't wanna make any,2
wanna make any trouble,2
make any trouble okay,2
any trouble okay but,2
trouble okay but i'm,2
okay but i'm in,2
but i'm in a,2
i'm in a lot,2
in a lot of,2
a lot of pain,4
lot of pain here,2
of pain here all,2
pain here all right,2
here all right my,2
all right my face,2
right my face is,2
my face is dented,2
face is dented well,2
is dented well you'll,2
dented well you'll have,2
well you'll have to,2
you'll have to wait,2
have to wait your,2
to wait your turn,2
wait your turn well,2
your turn well how,2
turn well how long,2
well how long do,2
how long do you,2
long do you think,2
do you think it'll,2
you think it'll be,2
think it'll be any,2
it'll be any minute,2
be any minute now,2
any minute now ross,2
minute now ross hey,2
now ross hey listen,2
ross hey listen ooh,2
hey listen ooh /,2
listen ooh / wake,2
ooh / wake up,2
/ wake up and,2
wake up and i,2
up and i start,2
and i start to,2
i start to cry,2
start to cry ain't,2
to cry ain't no,2
cry ain't no hope,2
ain't no hope in,2
no hope in oh,2
hope in oh i'm,2
in oh i'm so,2
oh i'm so sorry,6
i'm so sorry you,2
so sorry you guys,2
sorry you guys i,2
you guys i didn't,2
guys i didn't mean,2
i didn't mean to,2
didn't mean to bring,2
mean to bring you,2
to bring you down,2
bring you down no,2
you down no you,2
down no you were,2
no you were right,2
were right i don't,2
right i don't have,2
don't have a plan,2
have a plan man,2
a plan man pizza,2
plan man pizza guy,2
man pizza guy thank,2
pizza guy thank god,2
guy thank god food,2
thank god food phoebe,2
god food phoebe phoebe,2
food phoebe phoebe what,2
phoebe phoebe what do,2
phoebe what do you,4
what do you have,2
you have a plan,2
have a plan i,2
a plan i don't,2
plan i don't even,2
i don't even have,4
don't even have a,2
even have a pla,2
have a pla hi,2
a pla hi one,2
pla hi one mushroom,2
hi one mushroom green,2
one mushroom green pepper,2
mushroom green pepper and,2
green pepper and onion,2
pepper and onion no,2
and onion no no,2
onion no no no,2
no no no that's,4
no no that's not,2
that's not what we,2
not what we ordered,2
what we ordered we,2
we ordered we ordered,2
ordered we ordered a,2
we ordered a fatfree,2
ordered a fatfree crust,2
a fatfree crust with,2
fatfree crust with extra,2
crust with extra cheese,2
with extra cheese wait,2
extra cheese wait you're,2
cheese wait you're not,2
wait you're not g,2
you're not g stephanopoulos,2
not g stephanopoulos no,2
g stephanopoulos no oh,2
stephanopoulos no oh man,2
no oh man my,2
oh man my dad's,2
man my dad's gonna,2
my dad's gonna kill,2
dad's gonna kill me,2
gonna kill me wait,2
kill me wait did,2
me wait did you,2
wait did you say,2
did you say g,2
you say g stephanopoulos,2
say g stephanopoulos yeah,2
g stephanopoulos yeah this,2
stephanopoulos yeah this one,2
yeah this one goes,2
this one goes across,2
one goes across the,2
goes across the street,2
across the street i,2
the street i must,2
street i must have,2
i must have given,2
must have given him,2
have given him yours,2
given him yours ohbonehead,2
him yours ohbonehead bonehead,2
yours ohbonehead bonehead wait,2
ohbonehead bonehead wait was,2
bonehead wait was this,2
wait was this a,2
was this a small,2
this a small mediterranean,2
a small mediterranean guy,2
small mediterranean guy with,2
mediterranean guy with curiously,2
guy with curiously intelligent,2
with curiously intelligent good,2
curiously intelligent good looks,2
intelligent good looks yeah,2
good looks yeah that,2
looks yeah that sounds,2
yeah that sounds about,2
that sounds about right,2
sounds about right was,2
about right was he,2
right was he wearing,2
was he wearing a,2
he wearing a stunning,2
wearing a stunning blue,2
a stunning blue suit,2
stunning blue suit and,2
blue suit and a,2
suit and a power,2
and a power tie,2
a power tie no,2
power tie no pretty,2
tie no pretty much,2
no pretty much just,2
pretty much just a,2
much just a towel,2
just a towel oh,2
a towel oh god,2
towel oh god oh,2
oh god oh oh,2
god oh oh oh,2
my god you want,2
god you want me,2
want me to take,2
me to take this,2
to take this back,2
take this back what,2
this back what are,2
back what are you,2
what are you nuts,2
are you nuts we've,2
you nuts we've got,2
nuts we've got george,2
we've got george stephanopoulos',2
got george stephanopoulos' pizza,2
george stephanopoulos' pizza here,2
stephanopoulos' pizza here uh,2
pizza here uh pheebs,2
here uh pheebs yeah,2
uh pheebs yeah who's,2
pheebs yeah who's george,2
yeah who's george snuffleupagus,2
who's george snuffleupagus that's,2
george snuffleupagus that's big,2
snuffleupagus that's big bird's,2
that's big bird's friend,2
big bird's friend i,2
bird's friend i see,2
friend i see pizza,2
i see pizza phoebe,2
see pizza phoebe oh,2
pizza phoebe oh i,2
phoebe oh i wanna,2
oh i wanna see,2
i wanna see let,2
wanna see let me,2
see let me see,2
let me see let,2
me see let me,2
let me see hello,2
me see hello who,2
see hello who are,2
hello who are we,2
who are we spying,2
are we spying on,2
we spying on you,2
spying on you know,2
on you know the,2
you know the white,2
know the white house,2
the white house adviser,2
white house adviser clinton's,2
house adviser clinton's campaign,2
adviser clinton's campaign guy,2
clinton's campaign guy the,2
campaign guy the one,2
guy the one with,2
the one with the,4
one with the great,2
with the great hair,2
the great hair sexy,2
great hair sexy smile,2
hair sexy smile really,2
sexy smile really cute,2
smile really cute butt,2
really cute butt oh,2
cute butt oh him,2
butt oh him the,2
oh him the little,2
him the little guy,2
the little guy oh,2
little guy oh i,2
guy oh i love,2
oh i love him,2
i love him ooh,2
love him ooh oh,2
him ooh oh wait,2
ooh oh wait wait,2
oh wait wait i,2
wait wait i see,2
wait i see a,2
i see a woman,2
see a woman tell,2
a woman tell me,2
woman tell me it's,2
tell me it's his,2
me it's his mother,2
it's his mother definitely,2
his mother definitely not,2
mother definitely not his,2
definitely not his mother,2
not his mother oh,2
his mother oh no,2
mother oh no oh,2
oh no oh wait,2
no oh wait she's,2
oh wait she's walking,2
wait she's walking across,2
she's walking across the,2
walking across the floor,2
across the floor she's,2
the floor she's walking,2
floor she's walking she's,2
she's walking she's walking,2
walking she's walking she's,2
she's walking she's going,2
walking she's going for,2
she's going for the,2
going for the pizza,2
for the pizza hey,2
the pizza hey that's,2
pizza hey that's not,2
hey that's not for,2
that's not for you,2
not for you bitch,2
for you bitch dr,2
you bitch dr max,2
bitch dr max to,2
dr max to center,4
max to center 456,4
to center 456 dr,2
center 456 dr max,2
456 dr max to,2
to center 456 excuse,2
center 456 excuse me,2
456 excuse me we've,2
excuse me we've been,2
me we've been here,2
we've been here for,4
been here for over,2
here for over an,2
for over an hour,2
over an hour and,2
an hour and people,2
hour and people less,2
and people less sick,2
people less sick than,2
less sick than my,2
sick than my friend,2
than my friend have,2
my friend have gone,2
friend have gone in,2
have gone in i,2
gone in i mean,2
in i mean that,2
i mean that guy,2
mean that guy with,2
that guy with the,2
guy with the toe,2
with the toe thing,2
the toe thing who's,2
toe thing who's he,2
thing who's he sleeping,2
who's he sleeping with,2
he sleeping with oh,2
sleeping with oh come,2
with oh come on,2
oh come on dora,2
come on dora don't,2
on dora don't be,2
dora don't be mad,2
don't be mad i,2
be mad i know,2
mad i know we,2
i know we both,2
know we both said,2
we both said some,2
both said some things,2
said some things we,2
some things we didn't,2
things we didn't mean,2
we didn't mean but,2
didn't mean but that,2
mean but that doesn't,2
but that doesn't mean,2
that doesn't mean we,2
doesn't mean we still,2
mean we still don't,2
we still don't love,2
still don't love each,2
don't love each other,2
love each other you,2
each other you know,2
other you know i,2
you know i feel,2
know i feel like,2
i feel like i've,2
feel like i've lost,2
like i've lost her,2
i've lost her lights,2
lost her lights still,2
her lights still out,2
lights still out yeah,2
still out yeah well,2
out yeah well maybe,2
yeah well maybe they're,2
well maybe they're napping,2
maybe they're napping heh,2
they're napping heh please,2
napping heh please they're,2
heh please they're having,2
please they're having sex,2
they're having sex monica,2
having sex monica &,2
sex monica & phoebe,2
monica & phoebe shut,2
& phoebe shut up,2
phoebe shut up so,2
shut up so what,2
up so what do,2
do you think george,2
you think george is,2
think george is like,2
george is like i,2
is like i think,2
like i think he's,2
i think he's shy,2
think he's shy oh,2
he's shy oh yeah,2
shy oh yeah yeah,2
oh yeah yeah i,2
yeah yeah i think,4
yeah i think you,3
i think you have,2
think you have to,2
you have to draw,2
have to draw him,2
to draw him out,2
draw him out and,2
him out and then,2
out and then when,2
and then when you,2
then when you do,2
when you do he's,2
you do he's a,2
do he's a preppy,2
he's a preppy animal,2
a preppy animal come,2
preppy animal come on,2
animal come on i,2
come on i remember,2
on i remember the,2
i remember the moonlight,2
remember the moonlight coming,2
the moonlight coming in,2
moonlight coming in through,2
coming in through the,2
in through the open,2
through the open window,2
the open window and,2
open window and her,2
window and her face,2
and her face had,2
her face had the,2
face had the most,2
had the most incredible,2
the most incredible glow,2
most incredible glow yes,2
incredible glow yes the,2
glow yes the moon,2
yes the moon the,2
the moon the glow,2
moon the glow the,2
the glow the magical,2
glow the magical feeling,2
the magical feeling you,2
magical feeling you did,2
feeling you did this,2
you did this part,2
did this part could,2
this part could i,2
part could i get,2
could i get some,2
i get some painkillers,2
get some painkillers over,2
some painkillers over here,2
painkillers over here please,2
over here please he's,2
here please he's right,2
please he's right enough,2
he's right enough already,2
right enough already what,2
enough already what is,2
already what is the,2
what is the big,2
is the big deal,2
the big deal about,2
big deal about today,2
deal about today so,2
about today so you,2
today so you slept,2
so you slept with,2
you slept with her,4
slept with her for,4
with her for the,2
her for the first,2
for the first time,5
the first time so,2
first time so what,2
time so what you,2
so what you slept,2
what you slept with,4
with her for seven,2
her for seven years,2
for seven years after,2
seven years after that,2
years after that it's,2
after that it's just,2
that it's just a,2
it's just a little,2
just a little more,2
a little more complicated,2
little more complicated than,2
more complicated than that,2
complicated than that what,2
than that what what,2
that what what is,2
what is it that,2
is it that she,2
it that she left,2
that she left you,4
she left you that,2
left you that she,2
you that she likes,2
that she likes women,2
she likes women that,2
likes women that she,2
women that she left,2
she left you for,2
left you for a,2
you for a woman,2
for a woman that,2
a woman that likes,2
woman that likes women,2
that likes women a,2
likes women a little,2
women a little louder,2
a little louder there's,2
little louder there's a,2
louder there's a man,2
there's a man on,2
a man on the,2
man on the 12th,2
on the 12th floor,2
the 12th floor in,2
12th floor in a,2
floor in a coma,2
in a coma who,2
a coma who didn't,2
coma who didn't quite,2
who didn't quite hear,2
didn't quite hear you,2
quite hear you then,2
hear you then what,2
you then what my,2
then what my first,2
what my first time,2
my first time with,4
first time with carol,4
time with carol was,2
with carol was was,2
carol was was my,2
was was my what,2
was my what it,2
my what it was,2
what it was my,2
it was my first,2
was my first time,2
time with carol oh,2
with carol oh so,2
carol oh so in,2
oh so in your,2
so in your whole,2
in your whole life,2
your whole life you've,2
whole life you've only,2
life you've only been,2
you've only been with,2
only been with one,3
been with one oh,2
with one oh oh,2
one oh oh boy,2
oh oh boy hockey,2
oh boy hockey was,2
boy hockey was a,2
hockey was a big,2
was a big mistake,2
a big mistake there's,2
big mistake there's a,2
mistake there's a whole,2
there's a whole bunch,2
a whole bunch of,2
whole bunch of stuff,2
bunch of stuff we,2
of stuff we could've,2
stuff we could've done,2
we could've done tonight,2
could've done tonight okay,2
done tonight okay okay,2
tonight okay okay i,2
okay okay i got,4
okay i got one,4
i got one do,2
got one do you,2
one do you remember,2
do you remember that,2
you remember that vegetarian,2
remember that vegetarian pate,2
that vegetarian pate that,2
vegetarian pate that i,2
pate that i made,2
that i made that,2
i made that you,2
made that you loved,2
that you loved so,2
you loved so much,2
loved so much uhhuh,2
so much uhhuh well,2
much uhhuh well unless,2
uhhuh well unless goose,2
well unless goose is,2
unless goose is a,2
goose is a vegetable,2
is a vegetable oh,2
a vegetable oh oh,2
vegetable oh oh monica,2
oh oh monica &,2
oh monica & rachel,2
monica & rachel hahaha,2
& rachel hahaha okay,2
rachel hahaha okay fine,2
hahaha okay fine fine,2
okay fine fine now,2
fine fine now i,2
fine now i don't,2
now i don't feel,2
i don't feel so,2
don't feel so bad,2
feel so bad about,2
so bad about sleeping,2
bad about sleeping with,2
about sleeping with jason,2
sleeping with jason hurley,2
with jason hurley what,2
jason hurley what you,2
hurley what you slept,2
you slept with jason,2
slept with jason you,2
with jason you had,2
jason you had already,2
you had already broken,2
had already broken up,2
already broken up how,2
broken up how long,2
up how long just,2
how long just a,2
long just a couple,2
just a couple hours,2
a couple hours oh,2
couple hours oh that's,2
hours oh that's nice,2
oh that's nice okay,2
that's nice okay okay,2
nice okay okay okay,2
okay okay okay i,4
i got one anyway,2
got one anyway the,2
one anyway the valentine,2
anyway the valentine tommy,2
the valentine tommy rollerson,2
valentine tommy rollerson left,2
tommy rollerson left in,2
rollerson left in your,2
left in your locker,2
in your locker was,2
your locker was really,2
locker was really from,2
was really from me,2
really from me excuse,2
from me excuse me,2
me excuse me oh,2
excuse me oh hello,2
me oh hello like,2
oh hello like he,2
hello like he was,2
like he was really,2
he was really gonna,2
was really gonna send,2
really gonna send you,2
gonna send you one,2
send you one she,2
you one she was,2
one she was a,2
she was a big,2
was a big girl,2
a big girl really,2
big girl really well,2
girl really well at,2
really well at least,2
well at least big,2
at least big girls,2
least big girls don't,2
big girls don't pee,2
girls don't pee in,2
don't pee in their,2
pee in their pants,2
in their pants in,2
their pants in seventh,2
pants in seventh grade,2
in seventh grade i,2
seventh grade i was,2
grade i was laughing,2
i was laughing you,2
was laughing you made,2
laughing you made me,2
you made me laugh,2
made me laugh oh,2
me laugh oh my,2
laugh oh my god,2
oh my god there,6
my god there he,2
god there he is,2
there he is there,2
he is there he,2
is there he is,2
there he is where,2
he is where right,2
is where right where,2
where right where we've,2
right where we've been,2
where we've been looking,2
we've been looking all,2
been looking all night,2
looking all night oh,2
all night oh he's,2
night oh he's so,2
oh he's so cute,2
he's so cute oh,2
so cute oh george,2
cute oh george baby,2
oh george baby drop,2
george baby drop the,2
baby drop the towel,2
drop the towel come,2
the towel come on,2
towel come on drop,2
come on drop the,2
on drop the towel,2
drop the towel rachel,2
the towel rachel &,2
towel rachel & phoebe,2
rachel & phoebe drop,2
& phoebe drop the,2
phoebe drop the towel,2
drop the towel monica,2
the towel monica please,2
towel monica please drop,2
monica please drop the,2
please drop the towel,2
drop the towel drop,2
the towel drop it,2
towel drop it all,2
drop it all wow,2
it all wow man,2
all wow man can,2
wow man can you,2
man can you believe,2
can you believe he's,2
you believe he's only,2
believe he's only had,2
he's only had sex,2
only had sex with,2
had sex with one,2
sex with one woman,2
with one woman i,2
one woman i think,2
woman i think it's,4
i think it's great,2
think it's great you,2
it's great you know,2
great you know it's,2
you know it's sweet,2
know it's sweet it's,2
it's sweet it's romantic,2
sweet it's romantic really,2
it's romantic really no,2
romantic really no are,2
really no are you,2
no are you kidding,2
are you kidding the,2
you kidding the guy's,2
kidding the guy's a,2
the guy's a freak,2
guy's a freak i,2
a freak i judge,2
freak i judge him,2
i judge him hey,2
judge him hey man,2
him hey man hey,2
hey man hey buddy,2
man hey buddy ross,2
hey buddy ross ah,2
buddy ross ah ah,2
ross ah ah oh,2
ah ah oh that's,2
ah oh that's attractive,2
oh that's attractive oh,2
that's attractive oh i,2
attractive oh i thought,2
oh i thought you,2
thought you were great,2
you were great in,2
were great in silence,2
great in silence of,2
in silence of the,2
silence of the lambs,2
of the lambs oh,2
the lambs oh come,2
lambs oh come on,2
oh come on admit,2
come on admit it,2
on admit it all,2
admit it all things,2
it all things considered,2
all things considered you,2
things considered you had,2
considered you had fun,2
you had fun tonight,2
had fun tonight fun,2
fun tonight fun where,2
tonight fun where was,2
fun where was the,2
where was the fun,2
was the fun tell,2
the fun tell me,2
fun tell me specifically,2
tell me specifically which,2
me specifically which part,2
specifically which part was,2
which part was the,2
part was the fun,2
was the fun part,2
the fun part where's,2
fun part where's my,2
part where's my puck,2
where's my puck oh,2
my puck oh the,2
puck oh the kid,2
oh the kid has,2
the kid has it,2
kid has it the,2
has it the kid,2
it the kid ahem,2
the kid ahem excuse,2
kid ahem excuse me,2
ahem excuse me uh,2
excuse me uh that's,2
me uh that's my,2
uh that's my puck,2
that's my puck i,2
my puck i found,2
puck i found it,2
i found it finders,2
found it finders keepers,2
it finders keepers losers,2
finders keepers losers weepers,2
keepers losers weepers you,2
losers weepers you gotta,2
weepers you gotta do,2
you gotta do it,2
gotta do it man,2
do it man oh,2
it man oh yeah,2
man oh yeah well,2
oh yeah well i'm,2
yeah well i'm rubber,2
well i'm rubber you're,2
i'm rubber you're glue,2
rubber you're glue whatever,2
you're glue whatever you,2
glue whatever you i,2
whatever you i can't,2
you i can't do,2
i can't do it,4
can't do it listen,2
do it listen uh,2
it listen uh give,2
listen uh give me,2
uh give me back,2
give me back my,2
me back my puck,2
back my puck no,2
my puck no yes,2
puck no yes how,2
no yes how about,2
yes how about no,2
how about no no,2
about no no come,2
no no come here,2
no come here just,2
come here just give,2
here just give me,2
just give me my,2
give me my puck,4
me my puck no,2
my puck no no,2
puck no no no,2
no no no sizemore,2
no no sizemore hey,2
no sizemore hey no,2
sizemore hey no roughhousing,2
hey no roughhousing in,2
no roughhousing in my,2
roughhousing in my er,2
in my er give,2
my er give me,2
er give me my,2
me my puck unh,2
my puck unh now,2
puck unh now that,2
unh now that was,2
now that was fun,2
that was fun ross,2
was fun ross okay,2
fun ross okay monica,2
ross okay monica right,2
okay monica right foot,2
monica right foot red,2
right foot red could've,2
foot red could've played,2
red could've played monopoly,2
could've played monopoly but,2
played monopoly but no,2
monopoly but no thanks,2
but no thanks okay,2
no thanks okay pheebs,2
thanks okay pheebs right,2
okay pheebs right hand,2
pheebs right hand blue,2
right hand blue good,2
hand blue good joey,2
blue good joey hmm,2
good joey hmm hello,2
joey hmm hello oh,2
hmm hello oh rachel,2
oh rachel it's the,2
rachel it's the visacard,2
the visacard people rachel,2
visacard people rachel oh,2
people rachel oh okay,2
rachel oh okay will,2
oh okay will you,2
okay will you take,2
will you take my,2
you take my place,2
take my place all,2
my place all right,2
place all right yes,2
all right yes this,2
right yes this is,2
yes this is rachel,2
this is rachel rachel,2
is rachel rachel no,2
rachel rachel no oh,2
rachel no oh hello,2
no oh hello oh,2
oh hello oh yeah,2
hello oh yeah no,2
oh yeah no i,2
yeah no i know,2
no i know i,4
i know i haven't,4
know i haven't been,2
i haven't been using,2
haven't been using it,2
been using it much,2
using it much oh,2
it much oh well,2
much oh well thanks,2
oh well thanks but,2
well thanks but i'm,2
thanks but i'm okay,2
but i'm okay really,2
i'm okay really to,2
okay really to the,2
really to the green,2
to the green to,2
the green to the,2
green to the green,2
to the green monica,2
the green monica oh,2
green monica oh no,2
monica oh no to,2
oh no to the,2
no to the green,2
to the green i've,2
the green i've got,2
green i've got magic,2
i've got magic beans,2
got magic beans no,2
magic beans no no,2
beans no no never,2
no no never mind,2
no never mind chandler,2
never mind chandler to,2
mind chandler to the,2
chandler to the left,2
to the left to,2
the left to the,2
left to the left,2
to the left i'm,2
the left i'm fine,2
left i'm fine ,2
i'm fine  05589,2
fine  05589 ,2
 05589  08050,2
05589  08050 woman,2
 08050 woman ,2
08050 woman  dr,2
woman  dr johnson,2
 dr johnson you,2
dr johnson you have,2
johnson you have a,2
you have a call,2
have a call on,2
a call on line,2
call on line 7,2
on line 7 she's,2
line 7 she's not,2
7 she's not here,2
she's not here yet,2
not here yet she's,2
here yet she's having,2
yet she's having my,2
she's having my baby,2
having my baby and,2
my baby and she's,2
baby and she's not,2
and she's not here,2
she's not here everything's,2
not here everything's fine,2
here everything's fine has,2
everything's fine has her,2
fine has her water,2
has her water broken,2
her water broken i,2
water broken i don't,2
broken i don't know,2
don't know but when,2
know but when i,2
but when i spoke,2
when i spoke to,2
i spoke to her,2
spoke to her she,2
to her she said,2
her she said she'd,2
she said she'd already,2
said she'd already passed,2
she'd already passed the,2
already passed the mucus,2
passed the mucus plug,2
the mucus plug do,2
mucus plug do we,2
plug do we have,2
do we have to,2
we have to know,2
have to know about,2
to know about that,2
know about that what,2
about that what are,2
you gonna do when,2
gonna do when you,2
do when you have,2
when you have a,2
you have a baby,2
have a baby i'm,2
a baby i'm gonna,2
baby i'm gonna be,2
i'm gonna be in,2
gonna be in the,2
be in the waiting,2
in the waiting room,2
the waiting room handing,2
waiting room handing out,2
room handing out cigars,2
handing out cigars yes,2
out cigars yes joey's,2
cigars yes joey's made,2
yes joey's made arrangements,2
joey's made arrangements to,2
made arrangements to have,2
arrangements to have his,2
to have his baby,2
have his baby in,2
his baby in a,2
baby in a movie,2
in a movie from,2
a movie from the,2
movie from the '50s,2
from the '50s aah,2
the '50s aah i,2
'50s aah i don't,2
aah i don't believe,2
i don't believe this,2
don't believe this i,2
believe this i mean,6
this i mean she,2
i mean she could,2
mean she could be,2
she could be giving,2
could be giving birth,2
be giving birth in,2
giving birth in the,2
birth in the cab,2
in the cab oh,2
the cab oh ross,2
cab oh ross relax,2
oh ross relax it's,2
ross relax it's only,2
relax it's only like,2
it's only like 2,2
only like 2 for,2
like 2 for the,2
2 for the first,2
for the first contraction,2
the first contraction and,2
first contraction and then,2
contraction and then 50,2
and then 50 cents,2
then 50 cents each,2
50 cents each additional,2
cents each additional contraction,2
each additional contraction what,2
additional contraction what it's,2
contraction what it's okay,2
what it's okay when,2
it's okay when chandler,2
okay when chandler does,2
when chandler does it,2
chandler does it you,2
does it you have,2
it you have to,2
you have to pick,2
have to pick your,2
to pick your moments,2
pick your moments hi,2
your moments hi did,2
moments hi did i,2
hi did i miss,2
did i miss it,4
i miss it did,2
miss it did i,2
it did i miss,2
i miss it no,2
miss it no she's,2
it no she's not,2
no she's not even,2
she's not even here,2
not even here yet,2
even here yet oh,2
here yet oh monica,2
yet oh monica what's,2
oh monica what's with,2
monica what's with the,2
what's with the guitar,2
with the guitar i,2
the guitar i just,2
guitar i just thought,2
i just thought we,4
just thought we might,2
thought we might be,2
we might be here,2
might be here for,2
be here for a,2
here for a while,4
for a while so,4
a while so you,2
while so you know,2
so you know things,2
you know things might,2
know things might get,2
things might get musical,2
might get musical ross,2
get musical ross hey,2
musical ross hey where,2
ross hey where the,2
hey where the hell,2
where the hell have,2
the hell have you,2
hell have you been,2
have you been we,2
you been we stopped,2
been we stopped at,2
we stopped at the,2
stopped at the gift,2
at the gift shop,2
the gift shop i,2
gift shop i was,2
shop i was looking,2
i was looking at,4
was looking at stuffed,2
looking at stuffed animals,2
at stuffed animals and,2
stuffed animals and susan,2
animals and susan wanted,2
and susan wanted a,2
susan wanted a chunky,2
wanted a chunky susan,2
a chunky susan wanted,2
chunky susan wanted a,2
susan wanted a you're,2
wanted a you're having,2
a you're having a,2
you're having a baby,2
having a baby a,2
a baby a baby,2
baby a baby you,2
a baby you don't,2
baby you don't stop,2
you don't stop for,2
don't stop for chunkys,2
stop for chunkys i,2
for chunkys i used,2
chunkys i used to,2
i used to have,2
used to have that,2
to have that bumper,2
have that bumper sticker,2
that bumper sticker ha,2
bumper sticker ha ha,2
sticker ha ha you,2
ha ha you see,2
ha you see what,2
you see what i,2
see what i mean,2
what i mean stopped,2
i mean stopped for,2
mean stopped for a,2
stopped for a chunky,2
for a chunky let,2
a chunky let it,2
chunky let it go,2
it go ross i,4
go ross i got,2
ross i got an,2
i got an extra,2
got an extra one,2
an extra one you,2
extra one you want,2
one you want this,2
you want this no,2
want this no hey,2
this no hey how's,2
no hey how's my,2
hey how's my favorite,2
how's my favorite parenting,2
my favorite parenting team,2
favorite parenting team doing,2
parenting team doing dr,2
team doing dr franzblau,2
doing dr franzblau hi,2
dr franzblau hi so,2
franzblau hi so i,2
hi so i understand,2
so i understand you're,2
i understand you're thinking,2
understand you're thinking of,2
you're thinking of having,2
thinking of having a,2
of having a baby,2
having a baby wow,2
a baby wow i,2
baby wow i see,2
wow i see you're,2
i see you're nine,2
see you're nine months,2
you're nine months pregnant,2
nine months pregnant that's,2
months pregnant that's a,2
pregnant that's a good,2
that's a good start,2
a good start how,2
good start how you,2
start how you doing,2
how you doing with,2
you doing with your,2
doing with your contractions,2
with your contractions oh,2
your contractions oh i,2
contractions oh i love,2
oh i love them,2
i love them each,2
love them each one's,2
them each one's like,2
each one's like a,2
one's like a little,2
like a little party,2
a little party in,2
little party in my,2
party in my uterus,2
in my uterus ha,2
my uterus ha ha,2
uterus ha ha they're,2
ha ha they're every,2
ha they're every four,2
they're every four minutes,2
every four minutes and,2
four minutes and last,2
minutes and last 55,2
and last 55 seconds,2
last 55 seconds fiftynine,2
55 seconds fiftynine seconds,2
seconds fiftynine seconds quartz,2
fiftynine seconds quartz ha,2
seconds quartz ha swiss,2
quartz ha swiss quartz,2
ha swiss quartz ha,2
swiss quartz ha ha,2
quartz ha ha am,2
ha ha am i,2
ha am i allowed,2
am i allowed to,2
i allowed to drink,2
allowed to drink anything,2
to drink anything ice,2
drink anything ice chips,2
anything ice chips just,2
ice chips just ice,2
chips just ice chips,2
just ice chips they're,2
ice chips they're at,2
chips they're at the,2
they're at the nurses',2
at the nurses' station,2
the nurses' station i'll,2
nurses' station i'll get,2
station i'll get them,2
i'll get them susan,2
get them susan no,2
them susan no i'm,2
susan no i'm getting,2
no i'm getting it,2
i'm getting it be,2
getting it be right,2
it be right back,2
be right back no,2
right back no i,2
back no i got,2
no i got it,2
i got it i'm,4
got it i'm getting,2
it i'm getting it,2
i'm getting it hi,2
getting it hi thought,2
